Memory initialized!
CPU initialized
BEFORE (0x0100) Opcode: 0x00 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
AFTER (0x0100) Opcode: 0x00 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
BEFORE (0x0101) Opcode: 0xC3 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
AFTER (0x0101) Opcode: 0xC3 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
BEFORE (0x0637) Opcode: 0xC3 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
AFTER (0x0637) Opcode: 0xC3 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
BEFORE (0x0430) Opcode: 0xF3 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
AFTER (0x0430) Opcode: 0xF3 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
BEFORE (0x0431) Opcode: 0x31 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xFFFE | Z:0 N:0 H:0 C:0
AFTER (0x0431) Opcode: 0x31 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0434) Opcode: 0xEA | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0434) Opcode: 0xEA | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0437) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0437) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0439) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0439) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x043B) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x043B) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x043D) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x043D) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x043F) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x043F) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0441) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0441) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0443) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0443) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0445) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0445) Opcode: 0xE0 | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0447) Opcode: 0x3E | A:0x00 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0447) Opcode: 0x3E | A:0x80 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0449) Opcode: 0xE0 | A:0x80 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0449) Opcode: 0xE0 | A:0x80 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x044B) Opcode: 0x3E | A:0x80 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x044B) Opcode: 0x3E | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x044D) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x044D) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x044F) Opcode: 0x3E | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x044F) Opcode: 0x3E | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0451) Opcode: 0xE0 | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0451) Opcode: 0xE0 | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0453) Opcode: 0x21 | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x00 L:0x00 | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0453) Opcode: 0x21 | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x0456) Opcode: 0xCD | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x0456) Opcode: 0xCD | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x02A3) Opcode: 0x7D | A:0x77 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x02A3) Opcode: 0x7D | A:0x8F B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x02A4) Opcode: 0xEA | A:0x8F B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x02A4) Opcode: 0xEA | A:0x8F B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x02A7) Opcode: 0x7C | A:0x8F B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x02A7) Opcode: 0x7C | A:0x0B B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x02A8) Opcode: 0xEA | A:0x0B B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x02A8) Opcode: 0xEA | A:0x0B B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
